region,price,year,manufacturer,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,type
chicago,10000,2015,chevrolet,silverado,good,6,gas,121000,clean,automatic,rwd,truck
chicago,2500,2001,acura,mdx,excellent,6,gas,190000,clean,automatic,4wd,SUV
chicago,6300,2013,ford,focus,good,4,gas,54000,salvage,automatic,fwd,sedan
chicago,10895,2010,honda,cr-v,fair,4,gas,104772,clean,automatic,4wd,SUV
chicago,6800,2003,toyota,4runner limited,excellent,6,gas,225000,clean,automatic,4wd,truck
chicago,6995,2013,ford,,excellent,6,gas,163003,clean,automatic,4wd,SUV
chicago,3900,2002,chevrolet,suburban 1500,good,8,gas,145000,clean,automatic,4wd,SUV
chicago,3195,2010,mitsubishi,galant,excellent,4,gas,162000,clean,automatic,fwd,sedan
chicago,4000,2011,ford,taurus se,excellent,6,gas,212000,clean,automatic,fwd,sedan
chicago,8995,2015,ford,escape,good,4,gas,108485,clean,automatic,rwd,SUV
chicago,8900,2011,honda,odyssey exl,excellent,4,gas,130000,clean,automatic,fwd,van
chicago,20497,2016,acura,mdx,fair,6,gas,79770,clean,automatic,4wd,SUV
chicago,2000,2005,toyota,corolla,fair,4,gas,181000,clean,automatic,fwd,sedan
chicago,7497,2012,nissan,rogue,fair,4,gas,135156,clean,automatic,4wd,sedan
chicago,14000,2016,toyota,camry se,excellent,4,gas,48000,clean,automatic,fwd,sedan
chicago,2995,2002,volvo,v70,excellent,5,gas,160229,clean,automatic,fwd,sedan
chicago,21995,2020,nissan,rogue,fair,4,gas,21258,clean,automatic,fwd,sedan
chicago,2500,2001,dodge,neon highline se,like new,4,gas,55042,clean,manual,fwd,sedan
chicago,2500,2007,toyota,camry,good,6,gas,150000,clean,manual,fwd,sedan
chicago,3900,2003,acura,cl,good,6,gas,89900,clean,automatic,fwd,coupe
chicago,2750,2007,pontiac,torrent awd,good,4,gas,153200,clean,automatic,4wd,SUV
chicago,3900,2005,toyota,sienna,good,6,gas,125000,clean,automatic,fwd,van
chicago,3850,2004,honda,civic,excellent,4,gas,160000,clean,automatic,fwd,sedan
chicago,7400,1984,chevrolet,monte carlo,like new,8,gas,31977,clean,automatic,rwd,coupe
chicago,44200,2015,rover,sport,like new,6,gas,49700,clean,automatic,4wd,SUV
chicago,9975,2015,ford,transit connect,good,4,gas,144716,clean,automatic,fwd,van
chicago,16975,2016,ford,transit,good,10,gas,123352,clean,automatic,4wd,van
chicago,8881,2011,nissan,murano,fair,6,gas,117700,clean,automatic,4wd,SUV
chicago,2200,2000,saturn,ls1,fair,4,gas,89878,clean,automatic,fwd,sedan
chicago,6900,2009,ram,1500,fair,8,gas,228178,clean,automatic,4wd,truck
chicago,3900,2000,volkswagen,cabrio coupe,excellent,4,gas,97000,clean,automatic,fwd,coupe
chicago,7950,2016,chevrolet,cruze ls,excellent,4,gas,62962,rebuilt,automatic,fwd,sedan
chicago,6995,1984,ford,thunderbird,good,8,gas,40000,clean,automatic,rwd,coupe
chicago,5800,2007,dodge,charger,good,6,gas,110000,clean,automatic,rwd,sedan
chicago,40000,1963,pontiac,catalina,like new,8,gas,0,clean,manual,rwd,coupe
chicago,7850,2008,honda,civic si sedan,excellent,4,gas,124000,clean,manual,fwd,sedan
chicago,7495,2013,buick,encore,excellent,4,gas,99119,clean,automatic,fwd,SUV
chicago,8750,2015,volkswagen,golf,excellent,4,gas,96222,clean,manual,fwd,sedan
chicago,15500,2011,audi,a8l,excellent,8,gas,127000,clean,automatic,fwd,SUV
chicago,14000,2006,toyota,avalon,excellent,6,gas,25730,clean,automatic,fwd,sedan
chicago,7000,2004,nissan,altima,excellent,4,gas,83000,clean,automatic,fwd,sedan
chicago,5000,1992,toyota,4runner sr5,good,6,gas,163793,clean,automatic,4wd,SUV
chicago,21879,2014,audi,q7,fair,6,diesel,77966,clean,automatic,4wd,SUV
chicago,14000,2007,volvo,vnl 670,fair,10,diesel,1000000,clean,manual,4wd,truck
chicago,800,2002,toyota,corolla,good,4,gas,148000,clean,automatic,fwd,sedan
chicago,3750,2006,toyota,sienna,good,6,gas,193000,clean,automatic,fwd,van
chicago,7490,2013,dodge,dart,excellent,4,gas,55000,clean,manual,fwd,sedan
chicago,3400,2003,dodge,caravan,good,6,gas,88200,clean,automatic,fwd,van
chicago,17300,2015,lincoln,navigator l,excellent,6,gas,210000,clean,automatic,4wd,SUV
chicago,4500,2012,mitsubishi,eclipse,like new,4,gas,94000,clean,automatic,fwd,coupe
chicago,11250,2012,cadillac,srx,excellent,6,gas,72250,clean,automatic,fwd,SUV
chicago,6490,2014,chevrolet,cruze lt,excellent,4,gas,102000,clean,automatic,fwd,sedan
chicago,4250,2011,ford,crown victoria police,good,8,gas,130000,clean,automatic,rwd,sedan
chicago,1500,1995,buick,century,fair,6,gas,69200,clean,automatic,fwd,sedan
chicago,6000,1955,chrysler,windsor,excellent,8,gas,97,clean,automatic,rwd,sedan
chicago,24990,2006,chevrolet,cc4500,good,8,gas,104422,clean,automatic,rwd,truck
chicago,2800,2004,gmc,savanna cargo,good,8,gas,142000,clean,automatic,rwd,van
chicago,9495,2014,ford,escape se,excellent,4,gas,69883,clean,automatic,fwd,SUV
chicago,12497,2016,chrysler,300,fair,6,gas,97950,clean,automatic,rwd,sedan
chicago,2500,2008,kia,rio,good,4,gas,167000,clean,automatic,fwd,sedan
chicago,49821,2020,chevrolet,4500 lcf gas,like new,8,gas,245,clean,automatic,rwd,truck
chicago,8400,2012,bmw,328i,excellent,4,gas,130000,clean,automatic,rwd,sedan
chicago,2200,1995,jeep,wrangler,good,4,gas,151000,clean,automatic,4wd,truck
chicago,3800,1954,dodge,meadowbrook,good,8,gas,57600,clean,manual,rwd,sedan
chicago,5200,2008,ford,edge 4dr sel awd,excellent,6,gas,147500,clean,automatic,4wd,SUV
chicago,12950,2004,chevrolet,duramax / allison,excellent,8,diesel,242177,clean,automatic,4wd,truck
chicago,23863,2016,toyota,highlander,fair,6,gas,70115,clean,automatic,4wd,SUV
chicago,8000,2012,honda,civic,good,4,gas,57905,clean,automatic,fwd,sedan
chicago,27995,2014,ram,promaster 3500,like new,6,gas,9600,clean,automatic,fwd,van
chicago,7749,2007,gmc,sierra,good,8,gas,188418,clean,automatic,rwd,truck
chicago,18500,2016,cadillac,srx,fair,6,gas,82629,clean,automatic,4wd,SUV
chicago,5000,2008,gmc,envoy,excellent,4,gas,169000,clean,automatic,4wd,SUV
chicago,7990,2011,chrysler,300,like new,6,gas,174000,clean,automatic,rwd,sedan
chicago,7200,2004,lexus,es330,good,6,gas,74200,clean,automatic,fwd,sedan
chicago,3900,1989,ford,mustang gt coupe,good,8,gas,140,clean,manual,rwd,coupe
chicago,3995,2005,infiniti,g35,excellent,6,gas,160000,clean,automatic,fwd,sedan
chicago,3999,2012,kia,soul,fair,4,gas,141461,clean,automatic,fwd,sedan
chicago,5500,2008,volvo,s 40,excellent,4,gas,107052,clean,manual,fwd,sedan
chicago,28995,2017,bmw,3 series,fair,4,gas,33585,clean,automatic,4wd,sedan
chicago,6800,2015,nissan,altima,good,4,gas,123000,clean,automatic,fwd,sedan
chicago,19900,2013,lexus,gs 350,excellent,6,gas,73000,clean,automatic,4wd,sedan
chicago,44648,2020,bmw,x1,excellent,4,gas,2080,clean,automatic,4wd,SUV
chicago,7200,2012,fiat,500 sport,excellent,4,gas,71400,clean,manual,fwd,sedan
chicago,3000,2005,saturn,ion,excellent,4,gas,87000,clean,automatic,fwd,sedan
chicago,12440,2009,lexus,rx 350,fair,6,gas,76103,clean,automatic,4wd,SUV
chicago,18200,2014,jeep,grand cherokee,fair,6,gas,85403,clean,automatic,4wd,SUV
chicago,4000,1993,chevrolet,cheyenne 1500,good,8,gas,89200,clean,automatic,4wd,truck
chicago,23998,2017,bmw,3 series,fair,4,gas,37283,clean,automatic,4wd,sedan
chicago,15999,1988,chevrolet,blazer,excellent,8,gas,34000,clean,automatic,4wd,truck
chicago,9900,2012,honda,pilot ex-l,like new,6,gas,78,clean,automatic,4wd,SUV
chicago,1400,1984,pontiac,fiero gt,good,4,gas,91000,clean,automatic,rwd,coupe
chicago,9990,2015,chevrolet,captiva sport,excellent,4,gas,103000,clean,automatic,fwd,SUV
chicago,10995,2009,jaguar,xj8,excellent,8,gas,66000,clean,automatic,rwd,sedan
chicago,5500,2006,lincoln,town car,excellent,8,gas,129032,clean,automatic,rwd,sedan
chicago,11950,2017,toyota,corolla,excellent,4,gas,66684,clean,automatic,fwd,sedan
chicago,11500,2013,mini,cooper countryman,excellent,4,gas,59000,clean,automatic,4wd,sedan
chicago,3333,2008,nissan,versa,good,4,gas,102500,clean,automatic,fwd,sedan
chicago,12500,2015,dodge,promaster 1500,good,4,diesel,110557,clean,automatic,fwd,van
chicago,10997,2017,ford,escape,good,4,gas,97666,clean,automatic,4wd,SUV
chicago,4499,2010,volkswagen,jetta,good,4,gas,150000,clean,manual,fwd,sedan
chicago,500,2017,nissan,maxima platinum,like new,6,gas,36000,clean,automatic,4wd,sedan
chicago,500,2017,nissan,maxima platinum,like new,6,gas,36000,clean,automatic,4wd,sedan
chicago,500,2017,nissan,maxima platinum,like new,6,gas,36000,clean,automatic,4wd,sedan
chicago,500,2017,nissan,maxima platinum,like new,6,gas,36000,clean,automatic,4wd,sedan
chicago,29900,2001,porsche,911,excellent,6,gas,29500,clean,manual,rwd,coupe
chicago,5500,1989,buick,electra park avenue,excellent,6,gas,61000,rebuilt,automatic,fwd,sedan
chicago,5795,2009,toyota,camry,good,4,gas,94450,clean,automatic,4wd,sedan
chicago,3800,2000,acura,tl,good,6,gas,166000,clean,automatic,fwd,sedan
chicago,31500,2015,ford,f550 4x4 super duty,excellent,8,diesel,153000,clean,automatic,4wd,truck
chicago,22999,2019,dodge,challenger,fair,6,gas,118876,clean,automatic,4wd,coupe
chicago,2800,2004,buick,century,excellent,6,gas,96000,clean,automatic,fwd,sedan
chicago,500,2013,dodge,charger,like new,6,gas,101000,clean,automatic,rwd,sedan
chicago,2000,2009,chevrolet,aveo 5 sedan,good,4,gas,164000,clean,automatic,fwd,sedan
chicago,3950,2006,jeep,grand cherokee,excellent,4,gas,190000,clean,automatic,4wd,SUV
chicago,5000,2002,cadillac,eldorado,good,8,gas,83020,clean,automatic,fwd,coupe
chicago,9500,2009,toyota,highlander limited,excellent,6,gas,142000,clean,automatic,4wd,SUV
chicago,6999,2011,volkswagen,jetta,fair,5,gas,92614,clean,automatic,fwd,sedan
